Field Path,Type(s),Files Present,Total Occurrences,Null Count,Null %,Is List,List Info,Sample Values
data.content.lineup.awayTeam.starters[0].marketValue,int(2),2,2,0,0.0%,No,,"[805422, 50000]"
data.content.lineup.awayTeam.starters[0].name,str(9),9,9,0,0.0%,No,,"['Lee Gibson', 'McKinley Crone', 'Sandy MacIver']"
data.content.lineup.awayTeam.starters[0].optaId,str(6),6,6,0,0.0%,No,,"['2', '27', '23']"
data.content.lineup.awayTeam.starters[0].performance,dict(8),8,8,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[0].performance.fantasyScore,str(1),1,1,0,0.0%,No,,['1']
data.content.lineup.awayTeam.starters[0].performance.rating,float(5),5,5,0,0.0%,No,,"[5.5, 5.2, 6.2]"
data.content.lineup.awayTeam.starters[0].positionId,int(9),9,9,0,0.0%,No,,[11]
data.content.lineup.awayTeam.starters[0].rankings,null(9),9,9,9,100.0%,No,,N/A
data.content.lineup.awayTeam.starters[0].shirtNumber,str(9),9,9,0,0.0%,No,,"['29', '40', '28']"
data.content.lineup.awayTeam.starters[0].usualPlayingPositionId,int(9),9,9,0,0.0%,No,,[0]
data.content.lineup.awayTeam.starters[0].verticalLayout,dict(9),9,9,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[0].verticalLayout.height,float(9),9,9,0,0.0%,No,,"[0.2, 0.192]"
data.content.lineup.awayTeam.starters[0].verticalLayout.width,int(9),9,9,0,0.0%,No,,[1]
data.content.lineup.awayTeam.starters[0].verticalLayout.x,float(9),9,9,0,0.0%,No,,[0.5]
data.content.lineup.awayTeam.starters[0].verticalLayout.y,float(9),9,9,0,0.0%,No,,[0.1]
data.content.lineup.awayTeam.starters[1],dict(9),9,9,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[1].age,int(9),9,9,0,0.0%,No,,"[23, 25, 26]"
data.content.lineup.awayTeam.starters[1].countryCode,str(9),9,9,0,0.0%,No,,"['SCO', 'ESP', 'CAN']"
data.content.lineup.awayTeam.starters[1].countryName,str(9),9,9,0,0.0%,No,,"['Scotland', 'Spain', 'Canada']"
data.content.lineup.awayTeam.starters[1].firstName,str(9),9,9,0,0.0%,No,,"['Chloe', 'Oihane', 'Gabrielle']"
data.content.lineup.awayTeam.starters[1].horizontalLayout,dict(9),9,9,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[1].horizontalLayout.height,float(9),9,9,0,0.0%,No,,"[0.25, 0.195]"
data.content.lineup.awayTeam.starters[1].horizontalLayout.width,float(9),9,9,0,0.0%,No,,"[0.257, 0.192, 0.385]"
data.content.lineup.awayTeam.starters[1].horizontalLayout.x,float(9),9,9,0,0.0%,No,,"[0.357, 0.292]"
data.content.lineup.awayTeam.starters[1].horizontalLayout.y,float(9),9,9,0,0.0%,No,,"[0.875, 0.79, 0.695]"
data.content.lineup.awayTeam.starters[1].id,int(9),9,9,0,0.0%,No,,"[1568320, 1043809, 734811]"
data.content.lineup.awayTeam.starters[1].lastName,str(9),9,9,0,0.0%,No,,"['Warrington', 'Hernández', 'Carle']"
data.content.lineup.awayTeam.starters[1].marketValue,int(2),2,2,0,0.0%,No,,"[194076, 84847]"
data.content.lineup.awayTeam.starters[1].name,str(9),9,9,0,0.0%,No,,"['Chloe Warrington', 'Oihane Hernández', 'Gabrielle Carle']"
data.content.lineup.awayTeam.starters[1].optaId,str(6),6,6,0,0.0%,No,,"['41', '8', '40']"
data.content.lineup.awayTeam.starters[1].performance,dict(9),9,9,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[1].performance.events,list(2),2,2,0,0.0%,Yes,"min:1, max:1, avg:1.0",N/A
data.content.lineup.awayTeam.starters[1].performance.events[0],dict(2),2,2,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[1].performance.events[0].time,int(1),1,1,0,0.0%,No,,[48]
